Time (s),Voltage(CH1) (V),Voltage(CH2) (V)
7.040000000000001e-08,-5.08,-1.016
7.08e-08,-5.08,-1.016
7.12e-08,-5.08,-1.016
7.16e-08,-5.08,-1.016
7.2e-08,-5.08,-1.016
7.24e-08,-5.08,-1.016
7.28e-08,-5.08,-1.016
7.320000000000001e-08,-5.08,-1.016
7.36e-08,-5.08,-1.016
7.4e-08,-5.08,-1.016
7.44e-08,-5.08,-1.016
7.480000000000001e-08,-5.08,-1.016
7.52e-08,-5.08,-1.016
7.56e-08,-5.08,-1.016
7.6e-08,-5.08,-1.016
7.640000000000001e-08,-5.08,-1.016
7.68e-08,-5.08,-1.016
7.72e-08,-5.08,-1.016
7.760000000000001e-08,-5.08,-1.016
7.8e-08,-5.08,-1.016
7.84e-08,-5.08,-1.016
7.88e-08,-5.08,-1.016
7.920000000000001e-08,-5.08,-1.016
7.96e-08,-5.08,-1.016
8e-08,-5.08,-1.016
8.04e-08,-5.08,-1.016
8.080000000000001e-08,-5.08,-1.016
8.12e-08,-5.08,-1.016
8.16e-08,-5.08,-1.016
8.2e-08,-5.08,-1.016
8.24e-08,-5.08,-1.016
8.28e-08,-5.08,-1.016
8.32e-08,-5.08,-1.016
8.360000000000001e-08,-5.08,-1.016
8.4e-08,-5.08,-1.016
8.44e-08,-5.08,-1.016
8.48e-08,-5.08,-1.016
8.520000000000001e-08,-5.08,-1.016
8.56e-08,-5.08,-1.016
8.6e-08,-5.08,-1.016
8.64e-08,-5.08,-1.016
8.680000000000001e-08,-5.08,-1.016
8.72e-08,-5.08,-1.016
8.76e-08,-5.08,-1.016
8.800000000000001e-08,-5.08,-1.016
8.84e-08,-5.08,-1.016
8.88e-08,-5.08,-1.016
8.92e-08,-5.08,-1.016
8.960000000000001e-08,-5.08,-1.016
9e-08,-5.08,-1.016
9.04e-08,-5.08,-1.016
9.08e-08,-5.08,-1.016
9.120000000000001e-08,-5.08,-1.016
9.16e-08,-5.08,-1.016
9.2e-08,-5.08,-1.016
9.240000000000001e-08,-5.08,-1.016
9.28e-08,-5.08,-1.016
9.32e-08,-5.08,-1.016
9.36e-08,-5.08,-1.016
9.400000000000001e-08,-5.08,-1.016
9.44e-08,-5.08,-1.016
9.48e-08,-5.08,-1.016
9.52e-08,-5.08,-1.016
9.560000000000001e-08,-5.08,-1.016
9.6e-08,-5.08,-1.016
9.64e-08,-5.08,-1.016
9.68e-08,-5.08,-1.016
9.720000000000001e-08,-5.08,-1.016
9.76e-08,-5.08,-1.016
9.8e-08,-5.08,-1.016
9.840000000000001e-08,-5.08,-1.016
9.88e-08,-5.08,-1.016
9.92e-08,-5.08,-1.016
9.96e-08,-5.08,-1.016
1.0000000000000001e-07,-5.08,-1.016
1.004e-07,-5.08,-1.016
1.008e-07,-5.08,-1.016
1.012e-07,-5.08,-1.016
1.0160000000000001e-07,-5.08,-1.016
1.02e-07,-5.08,-1.016
1.024e-07,-5.08,-1.016
1.0280000000000001e-07,-5.08,-1.016
1.032e-07,-5.08,-1.016
1.036e-07,-5.08,-1.016
1.04e-07,-5.08,-1.016
1.0440000000000001e-07,-5.08,-1.016
1.048e-07,-5.08,-1.016
1.052e-07,-5.08,-1.016
1.056e-07,-5.08,-1.016
1.0600000000000001e-07,-5.08,-1.016
1.064e-07,-5.08,-1.016
1.068e-07,-5.08,-1.016
1.0720000000000001e-07,-5.08,-1.016
1.076e-07,-5.08,-1.016
1.08e-07,-5.08,-1.016
1.084e-07,-5.08,-1.016
1.0880000000000001e-07,-5.08,-1.016
1.092e-07,-5.08,-1.016
1.096e-07,-5.08,-1.016
1.1e-07,-5.08,-1.016
1.1040000000000001e-07,-5.08,-1.016
1.108e-07,-5.08,-1.016
1.112e-07,-5.08,-1.016
1.1160000000000001e-07,-5.08,-1.016
1.1200000000000001e-07,-5.08,-1.016
1.124e-07,-5.08,-1.016
1.128e-07,-5.08,-1.016
1.1320000000000001e-07,-5.08,-1.016
1.136e-07,-5.08,-1.016
1.14e-07,-5.08,-1.016
1.144e-07,-5.08,-1.016
1.1480000000000001e-07,-5.08,-1.016
1.152e-07,-5.08,-1.016
1.156e-07,-5.08,-1.016
1.16e-07,-5.08,-1.016
1.1640000000000001e-07,-5.08,-1.016
1.168e-07,-5.08,-1.016
1.172e-07,-5.08,-1.016
1.1760000000000001e-07,-5.08,-1.016
1.18e-07,-5.08,-1.016
1.184e-07,-5.08,-1.016
1.188e-07,-5.08,-1.016
1.1920000000000001e-07,-5.08,-1.016
1.196e-07,-5.08,-1.016
1.2000000000000002e-07,-5.08,-1.016
1.204e-07,-5.08,-1.016
1.208e-07,-5.08,-1.016
1.212e-07,-5.08,-1.016
1.216e-07,-5.08,-1.016
1.22e-07,-5.08,-1.016
1.224e-07,-5.08,-1.016
1.2280000000000001e-07,-5.08,-1.016
1.232e-07,-5.08,-1.016
1.236e-07,-5.08,-1.016
1.24e-07,-5.08,-1.016
1.244e-07,-5.08,-1.016
1.248e-07,-5.08,-1.016
1.252e-07,-5.08,-1.016
1.256e-07,-5.08,-1.016
1.2600000000000002e-07,-5.08,-1.016
1.264e-07,-5.08,-1.016
1.268e-07,-5.08,-1.016
1.272e-07,-5.08,-1.016
1.276e-07,-5.08,-1.016
1.28e-07,-5.08,-1.016
1.284e-07,-5.08,-1.016
1.2880000000000002e-07,-5.08,-1.016
1.292e-07,-5.08,-1.016
1.296e-07,-5.08,-1.016
1.3e-07,-5.08,-1.016
1.304e-07,-5.08,-1.016
1.308e-07,-5.08,-1.016
1.312e-07,-5.08,-1.016
1.3160000000000001e-07,-5.08,-1.016
1.3200000000000002e-07,-5.08,-1.016
1.324e-07,-5.08,-1.016
1.328e-07,-5.08,-1.016
1.332e-07,-5.08,-1.016
1.336e-07,-5.08,-1.016
1.34e-07,-5.08,-1.016
1.344e-07,-5.08,-1.016
1.3480000000000002e-07,-5.08,-1.016
1.352e-07,-5.08,-1.016
1.356e-07,-5.08,-1.016
1.36e-07,-5.08,-1.016
1.364e-07,-5.08,-1.016
1.368e-07,-5.08,-1.016
1.372e-07,-5.08,-1.016
1.3760000000000001e-07,-5.08,-1.016
1.3800000000000002e-07,-5.08,-1.016
1.384e-07,-5.08,-1.016
1.388e-07,-5.08,-1.016
1.392e-07,-5.08,-1.016
1.396e-07,-5.08,-1.016
1.4e-07,-5.08,-1.016
1.404e-07,-5.08,-1.016
1.4080000000000002e-07,-5.08,-1.016
1.412e-07,-5.08,-1.016
1.416e-07,-5.08,-1.016
1.42e-07,-5.08,-1.016
1.424e-07,-5.08,-1.016
1.428e-07,-5.08,-1.016
1.432e-07,-5.08,-1.016
1.4360000000000002e-07,-5.08,-1.016
1.44e-07,-5.08,-1.016
1.444e-07,-5.08,-1.016
1.448e-07,-5.08,-1.016
1.452e-07,-5.08,-1.016
1.456e-07,-5.08,-1.016
1.46e-07,-5.08,-1.016
1.4640000000000001e-07,-5.08,-1.016
1.4680000000000002e-07,-5.08,-1.016
1.472e-07,-5.08,-1.016
1.476e-07,-5.08,-1.016
1.48e-07,-5.08,-1.016
1.484e-07,-5.08,-1.016
1.488e-07,-5.08,-1.016
1.492e-07,-5.08,-1.016
1.4960000000000002e-07,-5.08,-1.016
1.5e-07,-5.08,-1.016
1.504e-07,-5.08,-1.016
1.508e-07,-5.08,-1.016
1.512e-07,-5.08,-1.016
1.516e-07,-5.08,-1.016
1.52e-07,-5.08,-1.016
1.5240000000000001e-07,-5.08,-1.016
1.5280000000000002e-07,-5.08,-1.016
1.532e-07,-5.08,-1.016
1.536e-07,-5.08,-1.016
1.54e-07,-5.08,-1.016
1.544e-07,-5.08,-1.016
1.548e-07,-5.08,-1.016
1.5520000000000001e-07,-5.08,-1.016
1.5560000000000002e-07,-5.08,-1.016
1.56e-07,-5.08,-1.016
1.564e-07,-5.08,-1.016
1.568e-07,-5.08,-1.016
1.572e-07,-5.08,-1.016
1.576e-07,-5.08,-1.016
1.58e-07,-5.08,-1.016
1.5840000000000002e-07,-5.08,-1.016
1.588e-07,-5.08,-1.016
1.592e-07,-5.08,-1.016
1.596e-07,-5.08,-1.016
1.6e-07,-5.08,-1.016
1.604e-07,-5.08,-1.016
1.608e-07,-5.08,-1.016
1.6120000000000001e-07,-5.08,-1.016
1.6160000000000002e-07,-5.08,-1.016
1.62e-07,-5.08,-1.016
1.624e-07,-5.08,-1.016
1.628e-07,-5.08,-1.016
1.632e-07,-5.08,-1.016
1.636e-07,-5.08,-1.016
1.64e-07,-5.08,-1.016
1.6440000000000002e-07,-5.08,-1.016
1.648e-07,-5.08,-1.016
1.652e-07,-5.08,-1.016
1.656e-07,-5.08,-1.016
1.66e-07,-5.08,-1.016
1.664e-07,-5.08,-1.016
1.668e-07,-5.08,-1.016
1.6720000000000001e-07,-5.08,-1.016
1.6760000000000002e-07,-5.08,-1.016
1.68e-07,-5.08,-1.016
1.684e-07,-5.08,-1.016
1.688e-07,-5.08,-1.016
1.692e-07,-5.08,-1.016
1.696e-07,-5.08,-1.016
1.7000000000000001e-07,-5.08,-1.016
1.7040000000000002e-07,-5.08,-1.016
1.708e-07,-5.08,-1.016
1.712e-07,-5.08,-1.016
1.716e-07,-5.08,-1.016
1.72e-07,-5.08,-1.016
1.724e-07,-5.08,-1.016
1.728e-07,-5.08,-1.016
1.7320000000000002e-07,-5.08,-1.016
1.7360000000000002e-07,-5.08,-1.016
1.74e-07,-5.08,-1.016
1.744e-07,-5.08,-1.016
1.748e-07,-5.08,-1.016
1.752e-07,-5.08,-1.016
1.756e-07,-5.08,-1.016
1.7600000000000001e-07,-5.08,-1.016
1.7640000000000002e-07,-5.08,-1.016
1.768e-07,-5.08,-1.016
1.772e-07,-5.08,-1.016
1.776e-07,-5.08,-1.016
1.78e-07,-5.08,-1.016
1.784e-07,-5.08,-1.016
1.788e-07,-5.08,-1.016
1.7920000000000002e-07,-5.08,-1.016
1.796e-07,-5.08,-1.016
1.8e-07,-5.08,-1.016
1.804e-07,-5.08,-1.016
1.808e-07,-5.08,-1.016
1.812e-07,-5.08,-1.016
1.816e-07,-5.08,-1.016
1.8200000000000002e-07,-5.08,-1.016
1.8240000000000002e-07,-5.08,-1.016
1.828e-07,-5.08,-1.016
1.832e-07,-5.08,-1.016
1.836e-07,-5.08,-1.016
1.84e-07,-5.08,-1.016
1.844e-07,-5.08,-1.016
1.8480000000000001e-07,-5.08,-1.016
1.8520000000000002e-07,-5.08,-1.016
1.856e-07,-5.08,-1.016
1.86e-07,-5.08,-1.016
1.864e-07,-5.08,-1.016
1.868e-07,-5.08,-1.016
1.872e-07,-5.08,-1.016
1.876e-07,-5.08,-1.016
1.8800000000000002e-07,-5.08,-1.016
1.8840000000000002e-07,-5.08,-1.016
1.888e-07,-5.08,-1.016
1.892e-07,-5.08,-1.016
1.896e-07,-5.08,-1.016
1.9e-07,-5.08,-1.016
1.904e-07,-5.08,-1.016
1.9080000000000001e-07,-5.08,-1.016
1.9120000000000002e-07,-5.08,-1.016
1.916e-07,-5.08,-1.016
1.92e-07,-5.08,-1.016
1.924e-07,-5.08,-1.016
1.928e-07,-5.08,-1.016
1.932e-07,-5.08,-1.016
1.936e-07,-5.08,-1.016
1.9400000000000002e-07,-5.08,-1.016
1.9440000000000002e-07,-5.08,-1.016
1.948e-07,-5.08,-1.016
1.952e-07,-5.08,-1.016
1.956e-07,-5.08,-1.016
1.96e-07,-5.08,-1.016
1.964e-07,-5.08,-1.016
1.9680000000000002e-07,-5.08,-1.016
1.9720000000000002e-07,-5.08,-1.016
1.976e-07,-5.08,-1.016
1.98e-07,-5.08,-1.016
1.984e-07,-5.08,-1.016
1.988e-07,-5.08,-1.016
1.992e-07,-5.08,-1.016
1.9960000000000001e-07,-5.08,-1.016
2.0000000000000002e-07,-5.08,-1.016
2.004e-07,-5.08,-1.016
2.008e-07,-5.08,-1.016
2.012e-07,-5.08,-1.016
2.016e-07,-5.08,-1.016
2.02e-07,-5.08,-1.016
2.024e-07,-5.08,-1.016
2.0280000000000002e-07,-5.08,-1.016
2.0320000000000002e-07,-5.08,-1.016
2.036e-07,-5.08,-1.016
2.04e-07,-5.08,-1.016
2.044e-07,-5.08,-1.016
2.048e-07,-5.08,-1.016
2.052e-07,-5.08,-1.016
2.0560000000000001e-07,-5.08,-1.016
2.0600000000000002e-07,-5.08,-1.016
2.064e-07,-5.08,-1.016
2.068e-07,-5.08,-1.016
2.072e-07,-5.08,-1.016
2.076e-07,-5.08,-1.016
2.08e-07,-5.08,-1.016
2.084e-07,-5.08,-1.016
2.0880000000000002e-07,-5.08,-1.016
2.0920000000000002e-07,-5.08,-1.016
2.096e-07,-5.08,-1.016
2.1e-07,-5.08,-1.016
2.104e-07,-5.08,-1.016
2.108e-07,-5.08,-1.016
2.112e-07,-5.08,-1.016
2.1160000000000002e-07,-5.08,-1.016
2.1200000000000002e-07,-5.08,-1.016
2.124e-07,-5.08,-1.016
2.128e-07,-5.08,-1.016
2.132e-07,-5.08,-1.016
2.136e-07,-5.08,-1.016
2.14e-07,-5.08,-1.016
2.1440000000000001e-07,-5.08,-1.016
2.1480000000000002e-07,-5.08,-1.016
2.152e-07,-5.08,-1.016
2.156e-07,-5.08,-1.016
2.16e-07,-5.08,-1.016
2.164e-07,-5.08,-1.016
2.168e-07,-5.08,-1.016
2.172e-07,-5.08,-1.016
2.1760000000000002e-07,-5.08,-1.016
2.1800000000000002e-07,-5.08,-1.016
2.184e-07,-5.08,-1.016
2.188e-07,-5.08,-1.016
2.192e-07,-5.08,-1.016
2.196e-07,-5.08,-1.016
2.2e-07,-5.08,-1.016
2.2040000000000001e-07,-5.08,-1.016
2.2080000000000002e-07,-5.08,-1.016
2.212e-07,-5.08,-1.016
2.216e-07,-5.08,-1.016
2.22e-07,-5.08,-1.016
2.224e-07,-5.08,-1.016
2.228e-07,-5.08,-1.016
2.2320000000000001e-07,-5.08,-1.016
2.2360000000000002e-07,-5.08,-1.016
2.2400000000000002e-07,-5.08,-1.016
2.244e-07,-5.08,-1.016
2.248e-07,-5.08,-1.016
2.252e-07,-5.08,-1.016
2.256e-07,-5.08,-1.016
2.26e-07,-5.08,-1.016
2.2640000000000002e-07,-5.08,-1.016
2.2680000000000002e-07,-5.08,-1.016
2.272e-07,-5.08,-1.016
2.276e-07,-5.08,-1.016
2.28e-07,-5.08,-1.016
2.284e-07,-5.08,-1.016
2.288e-07,-5.08,-1.016
2.2920000000000001e-07,-5.08,-1.016
2.2960000000000002e-07,-5.08,-1.016
2.3000000000000002e-07,-5.08,-1.016
2.304e-07,-5.08,-1.016
2.308e-07,-5.08,-1.016
2.312e-07,-5.08,-1.016
2.316e-07,-5.08,-1.016
2.32e-07,-5.08,-1.016
2.3240000000000002e-07,-5.08,-1.016
2.3280000000000002e-07,-5.08,-1.016
2.332e-07,-5.08,-1.016
2.336e-07,-5.08,-1.016
2.34e-07,-5.08,-1.016
2.344e-07,-5.08,-1.016
2.348e-07,-5.08,-1.016
2.3520000000000001e-07,-5.08,-1.016
2.3560000000000002e-07,-5.08,-1.016
2.36e-07,-5.08,-1.016
2.364e-07,-5.08,-1.016
2.368e-07,-5.08,-1.016
2.372e-07,-5.08,-1.016
2.376e-07,-5.08,-1.016
2.3800000000000001e-07,-5.08,-1.016
2.3840000000000002e-07,-5.08,-1.016
2.388e-07,-5.08,-1.016
2.392e-07,-5.08,-1.016
2.396e-07,-5.08,-1.016
2.4000000000000003e-07,-5.08,-1.016
2.404e-07,-5.08,-1.016
2.408e-07,-5.08,-1.016
2.412e-07,-5.08,-1.016
2.416e-07,-5.08,-1.016
2.42e-07,-5.08,-1.016
2.424e-07,-5.08,-1.016
2.4280000000000003e-07,-5.08,-1.016
2.432e-07,-5.08,-1.016
2.436e-07,-5.08,-1.016
2.44e-07,-5.08,-1.016
2.444e-07,-5.08,-1.016
2.448e-07,-5.08,-1.016
2.452e-07,-5.08,-1.016
2.4560000000000003e-07,-5.08,-1.016
2.46e-07,-5.08,-1.016
2.464e-07,-5.08,-1.016
2.468e-07,-5.08,-1.016
2.472e-07,-5.08,-1.016
2.476e-07,-5.08,-1.016
2.48e-07,-5.08,-1.016
2.4840000000000003e-07,-5.08,-1.016
2.488e-07,-5.08,-1.016
2.4920000000000003e-07,-5.08,-1.016
2.496e-07,-5.08,-1.016
2.5e-07,-5.08,-1.016
2.504e-07,-5.08,-1.016
2.508e-07,-5.08,-1.016
2.512e-07,-5.08,-1.016
2.516e-07,-5.08,-1.016
2.5200000000000003e-07,-5.08,-1.016
2.524e-07,-5.08,-1.016
2.528e-07,-5.08,-1.016
2.532e-07,-5.08,-1.016
2.536e-07,-5.08,-1.016
